sourceid,roadname,functional,PT,POI,Sr,Vm,PC,CR,L,PS,Nth,Wv,W1,Ppk,Wbuf,Fb,WaA,fsw,Wa*Afsw,PLOS,EPLOS,kEPLOS
9821316,Via privata Raffaello Morghen,fourthClass,0,0,50,227.82,1,0,0.125,0,1,11.48,0,0,0,1,7.49,3.753,28.10997,3.049270844,2.799270844,2
9821322,Via Fra' Giovanni Pantaleo,fourthClass,0,0,40,0,2,0,0.125,0,1,11.48,0,0,0,1,5.7414,4.27758,24.55929781,2.286332827,2.036332827,2
9821323,Via Don Giuseppe Andreoli,fourthClass,0,0,40,0,2,0,0.125,0,1,11.48,0,0,0,1,10.105,3,30.315,2.104443304,1.854443304,2
9821325,Via Maddalena Donadoni Giudice,fourthClass,0,0,40,30.26,1,0,0.125,0,1,11.48,0,0,0,1,6.365,4.0905,26.0360325,2.305875843,2.055875843,2
15244123,Via Bovisasca,thirdClass,0,0,50,448.42,1,0,0.125,0,1,11.48,0,0,0,1,4.9,4.53,22.197,3.749713269,3.499713269,2
15244123,Via Bovisasca,thirdClass,0,0,50,448.42,1,0,0.125,0,1,11.48,0,0,0,1,4.85,4.545,22.04325,3.755330624,3.505330624,2
96939120,Piazza Emilio Alfieri,fourthClass,0,0,50,317.72,1,0,0.125,0,1,11.48,0,1,0,1,4.26,4.722,20.11572,2.365991789,2.115991789,2
114207954,Via Bovisasca,thirdClass,1,0,50,280.2,1,0,0.125,0,1,11.48,0,0,0,1,10.4167,3,31.2501,3.074735353,2.699735353,3
114207956,Via Enrico Cosenz,thirdClass,0,0,50,185.62,0,0,0.125,0.125,1,11.48,0,0,0,1,12.795,3,38.385,2.670005061,2.420005061,2
264519571,Via Don Giuseppe Andreoli,fourthClass,0,3,40,0,1,0,0.125,0,1,11.48,0,0,0,1,6,4.2,25.2,2.26470043,1.88970043,3
264519572,Via Don Giuseppe Andreoli,fourthClass,0,0,50,179.85,2,0,0.125,0,1,11.48,0,0,0,1,6.56,4.032,26.44992,2.992724023,2.742724023,2
264519574,Via Giuseppe Candiani,fourthClass,0,1,50,261.95,1,0,0.125,0.125,1,11.48,0,0,0,1,4.872,4.5384,22.1110848,3.328629817,2.828629817,4
264519575,Via Giuseppe Candiani,fourthClass,0,0,40,92.59,1,0,0.125,0,1,11.48,0,0,0,1,4.8,4.56,21.888,2.591515735,2.341515735,2
264763337,Via Enrico Cosenz,thirdClass,1,0,50,101.72,1,0,0.125,0,1,11.48,0,0,0,1,9.84,3.048,29.99232,2.705370816,2.330370816,3
265529038,Via Bovisasca,thirdClass,1,0,50,378.94,0,0,0.125,0,1,11.48,0,0,0,1,7.22,3.834,27.68148,3.406427824,3.156427824,2
266143434,Piazza Emilio Alfieri,fourthClass,0,1,40,20,0,0,0.125,0,1,11.48,0,0,0,1,4.9,4.53,22.197,2.415057769,2.165057769,2
266143435,Piazza Emilio Alfieri,fourthClass,1,0,40,20,2,0,0.125,0,1,11.48,0,0.5,0,1,6.54,4.038,26.40852,1.648362002,1.273362002,3
266143435,Piazza Emilio Alfieri,fourthClass,1,0,40,20,2,0,0.125,0,1,11.48,0,0,0,1,6.54,4.038,26.40852,2.270405914,1.895405914,3
266143435,Piazza Emilio Alfieri,fourthClass,1,0,40,20,2,0,0.125,0,1,11.48,0,0,0,1,6.54,4.038,26.40852,2.270405914,1.895405914,3
266143436,Via privata Raffaello Morghen,fourthClass,0,0,40,30.26,0,0,0.125,0,1,11.48,0,0,0,1,4.92,4.524,22.25808,2.436174786,2.311174786,1
266143437,Via privata Raffaello Morghen,fourthClass,0,0,40,60.51,1,0,0.125,0,1,11.48,0,0,0,1,4.82,4.554,21.95028,2.516244605,2.266244605,2
329617664,Via Bovisasca,thirdClass,0,0,50,458.42,0,0,0.125,0,1,11.48,0,0,0,1,4.85,4.545,22.04325,3.778080624,3.653080624,1
329647751,Via Bovisasca,thirdClass,0,0,50,317.72,2,0,0.125,0,1,11.48,0,0,0,1,9.45,3.165,29.90925,3.199232193,2.949232193,2
329647751,Via Bovisasca,thirdClass,0,0,50,317.72,2,0,0.125,0,1,11.48,0,0,0,1,9.45,3.165,29.90925,3.199232193,2.949232193,2
333572300,Via Giovanni Durando,thirdClass,0,0,50,269.77,0,0,0.125,0,1,11.48,0,0.5,0,1,11.58,3,34.74,2.423862983,2.298862983,1
333572301,Via Giovanni Durando,thirdClass,0,0,50,179.85,2,0,0.125,0,1,11.48,0,0.5,0,1,11.58,3,34.74,2.219294983,1.969294983,2
333572302,Via Giovanni Durando,thirdClass,0,0,50,269.77,2,0,0.125,0,1,11.48,0,0,0,1,11.06,3,33.18,2.996778295,2.746778295,2
333572302,Via Giovanni Durando,thirdClass,0,0,50,269.77,2,0,0.125,0,1,11.48,0,0,0,1,4.8,4.56,21.888,3.354600235,3.104600235,2
333572302,Via Giovanni Durando,thirdClass,0,0,50,269.77,2,0,0.125,0,1,11.48,0,0,0,1,11.06,3,33.18,2.996778295,2.746778295,2
333572302,Via Giovanni Durando,thirdClass,0,0,50,269.77,2,0,0.125,0,1,11.48,0,0,0,1,11.06,3,33.18,2.996778295,2.746778295,2
333572303,Via Giovanni Durando,thirdClass,1,0,50,227.82,2,0,0.125,0,1,11.48,0,1,0,1,9.84,3.048,29.99232,2.0212042,1.6462042,3
333572303,Via Giovanni Durando,thirdClass,1,0,50,227.82,2,0,0.125,0.125,1,11.48,0,1,0,1,9.84,3.048,29.99232,2.0212042,1.5212042,4
